#     ____                       ____        __     
#    / __ )___  ____________  __/ __ )__  __/ /____ 
#   / __  / _ \/ ___/ ___/ / / / __  / / / / __/ _ \
#  / /_/ /  __/ /  / /  / /_/ / /_/ / /_/ / /_/  __/
# /_____/\___/_/  /_/   \__, /_____/\__, /\__/\___/ 
#                      /____/      /____/           

# If there are any errors in the following data, please contact noc@berrybyte.net.

# Hivelocity DAL-1 IPv6
2605:F440:9600::/40,US,US-TX,Dallas,75247

# Hivelocity DAL-1 IPv4
104.167.215.0/24,US,US-TX,Dallas,75247

# MythicalKitten.com MEL-1 IPv6 - Catto go meow
2a06:a005:b70::/44,AU,AU-VIC,Melbourne,3000

# MythicalKitten.com Equinix NY4
2a06:a005:b90::/44,US,US-NY,New York,10011

# BerryByte Limited Experimental Anycast Network IPv6
2a06:a005:b80::/44,AU,AU-NSW,Sydney,2020

# BerryByte Falkens
2a06:a005:be0::/44,DE,DE-BY,Falkenstein,08223
